session_id,course_id,group_id,teacher_id,session_type,duration_periods,occurrences_per_week,required_room_type,is_locked
S0043,4,8,T023,TD,1,1,Salle,0
S0044,4,11,T024,TD,1,1,Salle,0
S0045,4,3,T025,TP,2,1,Lab_Info,0
S0046,4,4,T026,TP,2,1,Lab_Info,0
S0047,4,6,T027,TP,2,1,Lab_Info,0
S0048,4,7,T028,TP,2,1,Lab_Info,0
S0049,4,9,T029,TP,2,1,Lab_Info,0
S0050,4,10,T030,TP,2,1,Lab_Info,0
S0051,4,12,T035,TP,2,1,Lab_Info,0
S0052,4,13,T036,TP,2,1,Lab_Info,0
S0053,5,1,T005,CM,1,1,Amphi,0
S0054,5,2,T037,TD,1,1,Salle,0
S0055,5,5,T038,TD,1,1,Salle,0
S0056,5,8,T039,TD,1,1,Salle,0
S0057,5,11,T040,TD,1,1,Salle,0
S0058,6,1,T006,CM,1,1,Amphi,0
S0059,6,2,T041,TD,1,1,Salle,0
S0060,6,5,T042,TD,1,1,Salle,0
S0061,6,8,T019,TD,1,1,Salle,0
S0062,6,11,T020,TD,1,1,Salle,0
S0063,7,14,T007,CM,1,1,Amphi,0
S0064,7,15,T021,TD,1,1,Salle,0
S0065,7,18,T022,TD,1,1,Salle,0
S0066,7,21,T023,TD,1,1,Salle,0
S0067,7,16,T024,TP,2,1,Lab_Info,0
S0068,7,17,T031,TP,2,1,Lab_Info,0
S0069,7,19,T032,TP,2,1,Lab_Info,0
S0070,7,20,T033,TP,2,1,Lab_Info,0
S0071,7,22,T034,TP,2,1,Lab_Info,0
S0072,7,23,T037,TP,2,1,Lab_Info,0
S0073,8,14,T008,CM,1,1,Amphi,0
S0074,8,15,T038,TD,1,1,Salle,0
S0075,8,18,T039,TD,1,1,Salle,0
S0076,8,21,T040,TD,1,1,Salle,0
S0077,8,16,T041,TP,2,1,Lab_Info,0
S0078,8,17,T042,TP,2,1,Lab_Info,0
S0079,8,19,T043,TP,2,1,Lab_Info,0
S0080,8,20,T044,TP,2,1,Lab_Info,0
S0081,8,22,T019,TP,2,1,Lab_Info,0
S0082,8,23,T020,TP,2,1,Lab_Info,0
S0083,9,14,T009,CM,1,1,Amphi,0
S0084,9,15,T021,TD,1,1,Salle,0
S0085,9,18,T022,TD,1,1,Salle,0
S0086,9,21,T023,TD,1,1,Salle,0
S0087,9,16,T025,TP,2,1,Lab_Info,0
S0088,9,17,T026,TP,2,1,Lab_Info,0
S0089,9,19,T027,TP,2,1,Lab_Info,0
S0090,9,20,T028,TP,2,1,Lab_Info,0
S0091,9,22,T029,TP,2,1,Lab_Info,0
S0092,9,23,T030,TP,2,1,Lab_Info,0
S0093,10,14,T010,CM,1,1,Amphi,0
S0094,10,15,T035,TD,1,1,Salle,0
S0095,10,18,T036,TD,1,1,Salle,0
S0096,10,21,T038,TD,1,1,Salle,0
S0097,10,16,T039,TP,2,1,Lab_Info,0
S0098,10,17,T040,TP,2,1,Lab_Info,0
S0099,10,19,T021,TP,2,1,Lab_Info,0
S0100,10,20,T022,TP,2,1,Lab_Info,0
S0101,10,22,T023,TP,2,1,Lab_Info,0
S0102,10,23,T024,TP,2,1,Lab_Info,0
S0103,11,14,T011,CM,1,1,Amphi,0
S0104,11,15,T031,TD,1,1,Salle,0
S0105,11,18,T032,TD,1,1,Salle,0
S0106,11,21,T033,TD,1,1,Salle,0
S0107,12,14,T012,CM,1,1,Amphi,0
S0108,12,15,T034,TD,1,1,Salle,0
S0109,12,18,T035,TD,1,1,Salle,0
S0110,12,21,T036,TD,1,1,Salle,0
S0111,13,24,T013,CM,1,1,Amphi,0
S0112,13,25,T037,TD,1,1,Salle,0
S0113,13,28,T038,TD,1,1,Salle,0
S0114,13,26,T041,TP,2,1,Lab_Info,0
S0115,13,27,T042,TP,2,1,Lab_Info,0
S0116,13,29,T043,TP,2,1,Lab_Info,0
S0117,13,30,T044,TP,2,1,Lab_Info,0
S0118,14,24,T014,CM,1,1,Amphi,0
S0119,14,25,T019,TD,1,1,Salle,0
S0120,14,28,T020,TD,1,1,Salle,0
S0121,14,26,T025,TP,2,1,Lab_Info,0
S0122,14,27,T026,TP,2,1,Lab_Info,0
S0123,14,29,T027,TP,2,1,Lab_Info,0
S0124,14,30,T028,TP,2,1,Lab_Info,0
S0125,15,24,T015,CM,1,1,Amphi,0
S0126,15,25,T029,TD,1,1,Salle,0
S0127,15,28,T030,TD,1,1,Salle,0
S0128,15,26,T031,TP,2,1,Lab_Info,0
S0129,15,27,T032,TP,2,1,Lab_Info,0
S0130,15,29,T033,TP,2,1,Lab_Info,0
S0131,15,30,T034,TP,2,1,Lab_Info,0
S0132,16,24,T016,CM,1,1,Amphi,0
S0133,16,25,T035,TD,1,1,Salle,0
S0134,16,28,T036,TD,1,1,Salle,0
S0135,17,24,T017,CM,1,1,Amphi,0
S0136,17,25,T037,TD,1,1,Salle,0
S0137,17,28,T038,TD,1,1,Salle,0
S0138,18,31,T018,CM,1,1,Amphi,0
S0139,18,32,T039,TD,1,1,Salle,0
S0140,18,35,T040,TD,1,1,Salle,0
S0141,18,33,T019,TP,2,1,Lab_Sciences,0
S0142,18,34,T020,TP,2,1,Lab_Sciences,0
S0143,18,36,T021,TP,2,1,Lab_Sciences,0
S0144,18,37,T022,TP,2,1,Lab_Sciences,0
S0145,19,31,T001,CM,1,1,Amphi,0
S0146,19,32,T023,TD,1,1,Salle,0
S0147,19,35,T024,TD,1,1,Salle,0
S0148,19,33,T029,TP,2,1,Lab_Sciences,0
S0149,19,34,T030,TP,2,1,Lab_Sciences,0
S0150,19,36,T035,TP,2,1,Lab_Sciences,0
S0151,19,37,T036,TP,2,1,Lab_Sciences,0
S0152,20,31,T002,CM,1,1,Amphi,0
S0153,20,32,T037,TD,1,1,Salle,0
S0154,20,35,T038,TD,1,1,Salle,0
S0155,20,33,T039,TP,2,1,Lab_Sciences,0
S0156,20,34,T040,TP,2,1,Lab_Sciences,0
S0157,20,36,T041,TP,2,1,Lab_Sciences,0
S0158,20,37,T042,TP,2,1,Lab_Sciences,0
S0159,21,31,T003,CM,1,1,Amphi,0
S0160,21,32,T043,TD,1,1,Salle,0
S0161,21,35,T044,TD,1,1,Salle,0
S0162,22,31,T004,CM,1,1,Amphi,0
S0163,22,32,T023,TD,1,1,Salle,0
S0164,22,35,T024,TD,1,1,Salle,0
S0165,23,38,T005,CM,1,1,Amphi,0
S0166,23,39,T025,TD,1,1,Salle,0
S0167,23,42,T026,TD,1,1,Salle,0
S0168,23,40,T027,TP,2,1,Lab_Sciences,0
S0169,23,41,T028,TP,2,1,Lab_Sciences,0
S0170,23,43,T031,TP,2,1,Lab_Sciences,0
S0171,23,44,T032,TP,2,1,Lab_Sciences,0
S0172,24,38,T006,CM,1,1,Amphi,0
S0173,24,39,T033,TD,1,1,Salle,0
S0174,24,42,T034,TD,1,1,Salle,0
S0175,24,40,T037,TP,2,1,Lab_Sciences,0
S0176,24,41,T038,TP,2,1,Lab_Sciences,0
S0177,24,43,T043,TP,2,1,Lab_Sciences,0
S0178,24,44,T044,TP,2,1,Lab_Sciences,0
S0179,25,38,T007,CM,1,1,Amphi,0
S0180,25,39,T019,TD,1,1,Salle,0
S0181,25,42,T020,TD,1,1,Salle,0
S0182,25,40,T021,TP,2,1,Lab_Sciences,0
S0183,25,41,T022,TP,2,1,Lab_Sciences,0
S0184,25,43,T023,TP,2,1,Lab_Sciences,0
S0185,25,44,T024,TP,2,1,Lab_Sciences,0
S0186,26,38,T008,CM,1,1,Amphi,0
S0187,26,39,T025,TD,1,1,Salle,0
S0188,26,42,T026,TD,1,1,Salle,0
S0189,27,38,T009,CM,1,1,Amphi,0
S0190,27,39,T029,TD,1,1,Salle,0
S0191,27,42,T030,TD,1,1,Salle,0
S0192,28,45,T010,CM,1,1,Amphi,0
S0193,28,46,T033,TD,1,1,Salle,0
S0194,28,49,T034,TD,1,1,Salle,0
S0195,28,47,T035,TP,2,1,Lab_Info,0
S0196,28,48,T036,TP,2,1,Lab_Info,0
S0197,28,50,T039,TP,2,1,Lab_Info,0
S0198,28,51,T040,TP,2,1,Lab_Info,0
S0199,29,45,T011,CM,1,1,Amphi,0
S0200,29,46,T041,TD,1,1,Salle,0
S0201,29,49,T042,TD,1,1,Salle,0
S0202,29,47,T019,TP,2,1,Lab_Info,0
S0203,29,48,T020,TP,2,1,Lab_Info,0
S0204,29,50,T025,TP,2,1,Lab_Info,0
S0205,29,51,T026,TP,2,1,Lab_Info,0
S0206,30,45,T012,CM,1,1,Amphi,0
S0207,30,46,T027,TD,1,1,Salle,0
S0208,30,49,T028,TD,1,1,Salle,0
S0209,30,47,T029,TP,2,1,Lab_Info,0
S0210,30,48,T030,TP,2,1,Lab_Info,0
S0211,30,50,T031,TP,2,1,Lab_Info,0
S0212,30,51,T032,TP,2,1,Lab_Info,0
S0213,31,45,T013,CM,1,1,Amphi,0
S0214,31,46,T033,TD,1,1,Salle,0
S0215,31,49,T034,TD,1,1,Salle,0
S0216,32,45,T014,CM,1,1,Amphi,0
S0217,32,46,T037,TD,1,1,Salle,0
S0218,32,49,T038,TD,1,1,Salle,0
